Config,Layer,Alpha,Desc,PPL,Syco,Math,PPL_Delta,Syco_Delta,Math_Delta
L18_A-0.3,18,-0.3,MaxMath_Broad,9.476005554199219,0.7855,0.6413949962092494,0.09471988677978516,0.011499999999999955,-0.0015163002274449777
L24_A-0.3,24,-0.3,MaxSyco_Broad,9.463072776794434,0.79775,0.6573161485974223,0.081787109375,0.023749999999999938,0.014404852160727843
