Config,Layer,Alpha,PPL,Syco,Math,PPL_Delta,Syco_Delta,Math_Delta,Score
L16_A-0.3,16,-0.3,10.029935836791992,0.7575,0.6733333333333333,0.07996177673339844,0.009999999999999898,-0.010000000000000009,-0.008036380421772543
L16_A0.3,16,0.3,10.007854461669922,0.77,0.6833333333333333,0.057880401611328125,0.022499999999999964,0.0,0.0166828590444599
L20_A-0.3,20,-0.3,9.992524147033691,0.77,0.6833333333333333,0.042550086975097656,0.022499999999999964,0.0,0.018223598200531647
L20_A0.3,20,0.3,10.032754898071289,0.7625,0.6666666666666666,0.08278083801269531,0.014999999999999902,-0.01666666666666672,-0.009986370568709735
L24_A-0.3,24,-0.3,10.03964614868164,0.78,0.67,0.08967208862304688,0.03249999999999997,-0.013333333333333308,0.010154372957981477
L24_A0.3,24,0.3,10.087258338928223,0.7675,0.6633333333333333,0.1372842788696289,0.019999999999999907,-0.020000000000000018,-0.013797450932130527
