Config,Layer,Alpha,PPL,Syco,Math,PPL_Delta,Syco_Delta,Math_Delta,Score
L16_A-0.2,16,-0.2,9.98983383178711,0.755,0.6566666666666666,0.039859771728515625,0.007499999999999951,-0.026666666666666727,-0.023172684319368163
L16_A-0.1,16,-0.1,9.962761878967285,0.76,0.6933333333333334,0.012787818908691406,0.012499999999999956,0.010000000000000009,0.021214788718894765
