Config,Layer,Alpha,PPL,Syco,Math,PPL_Delta,Syco_Delta,Math_Delta,Score
L20_A-0.2,20,-0.2,9.966024398803711,0.755,0.6733333333333333,0.016050338745117188,0.007499999999999951,-0.010000000000000009,-0.0041131035767768866
L20_A-0.1,20,-0.1,9.951416969299316,0.7525,0.6666666666666666,0.0014429092407226562,0.004999999999999893,-0.01666666666666672,-0.01181168304882151
L20_A0.1,20,0.1,9.961920738220215,0.745,0.6966666666666667,0.011946678161621094,-0.0025000000000000577,0.013333333333333308,0.00963265903111796
L20_A0.2,20,0.2,9.989351272583008,0.765,0.6966666666666667,0.03937721252441406,0.01749999999999996,0.013333333333333308,0.02687581421954151
L24_A-0.1,24,-0.1,9.95712947845459,0.76,0.6766666666666666,0.007155418395996094,0.012499999999999956,-0.00666666666666671,0.005114193931279975
